0,Address,Census Tract,PM2.5,Poverty,Traffic,Noise Pollution,Minimum Price,Minimum Beds,Minimum Baths,Sqft,Units,Latitude,Longitude,Distance to School,Distance to Hospital,Distance to Grocery Store,City,Home Type,SoundScore
7773,"2121 Vale Rd, San Pablo, CA",6013369001,9.081541597,45.3,1331.891912,31,2950,3,2,1601,2,37.955086,-122.33705,0.290801628,0.278995579,0.439930668,San Pablo,MULTIUNIT,69
7774,"1015 Cedar Ter, San Pablo, CA 94806",6013369001,9.081541597,45.3,1331.891912,30,3400,3,3,1320,1,37.95811,-122.33745,0.456707685,0.501446397,0.36660889,San Pablo,APARTMENT,70
7775,"1513 Lettia Rd, San Pablo, CA 94806",6013392200,8.993569614,20.7,576.5419967,21,1699,1,1,750,1,37.99962,-122.331184,2.00081462,2.78995579,2.378608188,San Pablo,APARTMENT,79
7776,"1925 Sutter Ave, San Pablo, CA 94806",6013368001,9.153314907,47.2,754.1289893,27,2100,2,1,504,1,37.956787,-122.35073,0.30447179,0.904094805,0.114953635,San Pablo,SINGLE_FAMILY,73
7777,"2764 21st St, San Pablo, CA 94806",6013366001,9.00918509,35.2,564.1224362,36,3350,3,1,962,1,37.969986,-122.34434,0.429367361,1.49750411,0.063379842,San Pablo,SINGLE_FAMILY,64
7778,"1506 Market Ave APT 1, San Pablo, CA 94806",6013368001,9.153314907,47.2,754.1289893,33,1650,1,1,750,1,37.95818,-122.35452,0.097555247,1.138973043,0.025476211,San Pablo,APARTMENT,67
7779,"2708 El Portal Dr 1, San Pablo, CA 94806",6013367200,9.055633015,37.1,898.9988722,29,1995,2,1,850,1,37.962814,-122.33567,0.867433916,2.140001724,1.141458527,San Pablo,APARTMENT,71
7780,"107 Portola Pl, San Pablo, CA 94806",6013367200,9.055633015,37.1,898.9988722,29,3325,3,3,1718,1,37.96376,-122.34261,0.332433485,1.139594414,0.563583497,San Pablo,TOWNHOUSE,71
7781,"1120 Yuba Ave APT 3, San Pablo, CA 94806",6013369002,8.956419976,31.9,1698.393573,31,1800,1,1,625,1,37.95008,-122.32389,0.300122193,1.067515378,0.573525433,San Pablo,APARTMENT,69
7782,"2430 Road 20, San Pablo, CA 94806",6013367200,9.055633015,37.1,898.9988722,30,1695,1,1,725,1,37.96328,-122.34227,0.137322991,1.073107717,0.4970968,San Pablo,APARTMENT,70
7783,"1246 Gerald Ave, San Pablo, CA 94806",6013369002,8.956419976,31.9,1698.393573,30,3100,3,2,1359,1,37.951694,-122.324486,0.011184678,1.324762972,0.830151656,San Pablo,SINGLE_FAMILY,70
7784,"2330 Church Ln, San Pablo, CA 94806",6013369001,9.081541597,45.3,1331.891912,30,2175,2,1,850,1,37.959312,-122.33907,0.572282691,0.579117772,0.259733078,San Pablo,TOWNHOUSE,70
7785,"20 North Ave, San Rafael, CA",6041106001,8.414100549,10.1,2523.246113,19,3195,1,1,698,2,38.022797,-122.5262,0.891667385,1.600651696,2.630263443,San Rafael,MULTIUNIT,81
7786,"815 B St, San Rafael, CA",6041111000,8.40486263,17.7,821.9759079,35,3400,1,1,640,2,37.971436,-122.530014,0.094448392,0.579739143,0.148507669,San Rafael,MULTIUNIT,65
7787,"1050 Court St, San Rafael, CA",6041111000,8.40486263,17.7,821.9759079,35,2427,0,1,528,8,37.97318,-122.52655,0.164041944,0.308821387,0.188275413,San Rafael,MULTIUNIT,65
7788,"300 Channing Way, San Rafael, CA",6041106001,8.414100549,10.1,2523.246113,27,2386,1,1,735,9,38.011562,-122.53623,0.620749629,0.46602825,0.470999218,San Rafael,MULTIUNIT,73
7789,"33 San Pablo Ave, San Rafael, CA",6041106002,8.462434802,11.1,3074.273855,32,4195,2,2,1141,5,37.994003,-122.53014,0.778577863,1.306743213,0.228043157,San Rafael,MULTIUNIT,68
7790,"1747 Lincoln Ave, San Rafael, CA 94901",6041109001,8.351873776,16.5,1801.020682,32,2120,0,1,440,1,37.98585,-122.52662,0.163420573,1.432881526,0.971202873,San Rafael,APARTMENT,68
